country_name,app_name,provider,Package_Name,Version_Name,SHA256_APK_base,APK_base_Size_MB,Collection_Date,category,playstore_url,Min_SDK,Target_SDK
Burkina Faso,MOOV MONEY BF,Moov,bf.moovmoney.hwmm,1.0.4,deb905c48978221ae09165d76cf83b2f451fcb46f0be247338693bb16f2c1d00,48.32,2026-03-04 17:50:00,Finance,https://play.google.com/store/apps/details?id=bf.moovmoney.hwmm,24,35
Côte d'Ivoire,Moov Money CI,Moov Africa CI,ci.moovmoney.mmpayapi,1.0.14,36a04f71ef3f63556bd5c68a29bb9fa8f7723e5ac3e6c7833b0bb4a0d92dc00d,36.52,2026-03-04 17:52:00,Finance,https://play.google.com/store/apps/details?id=ci.moovmoney.mmpayapi,21,34
Ethiopia,telebirr,Ethio telecom SC,cn.tydic.ethiopay,1.2.7.002,aa6d0137d73930b9ac611d2f085151fccafecd79b06845171e5ee599e4b4d7a4,66.02,2026-03-04 17:50:00,Business tools,https://play.google.com/store/apps/details?id=cn.tydic.ethiopay,29,35
Gambia,MyAfricell GM,Africell GM,com.africell.africell.africellapp,39934,45bb16e0f35db4cbe400f2e1aef9a27effd5d55d437890ff42735fcee40bbda9,41.96,2026-03-04 17:52:00,Tools & utilities,https://play.google.com/store/apps/details?id=com.africell.africell.africellapp,21,35
Sierra Leone,MyAfricell SL,Africell,com.africell.africell.africellSLApp,40603,2f185449781559a554d1e9f16a2d58cd69ef7b506cb09c2239f14930ed4a4e0a,38.1,2026-03-04 17:49:00,Communication,https://play.google.com/store/apps/details?id=com.africell.africell.africellSLApp,21,35
RD Congo,MyAfricell DRC,Africell DRC,com.africell.africell.drc,36526,34d3fbbf917735c83bd9535fbb34730c5c4b2de1a6a143681bb2840bf07d4493,38.34,2026-03-04 17:53:00,Communication,https://play.google.com/store/apps/details?id=com.africell.africell.drc,26,35
,My Airtel,Airtel Africa,com.airtel.africa.selfcare,39539,27c61f83f6f8efe0770fafd6a2191aba46ab9faf6832c4613f905cabc58a2394,42.81,2026-03-04 17:52:00,Lifestyle,https://play.google.com/store/apps/details?id=com.airtel.africa.selfcare,23,35
"Bénin, Cameroun, Ghana, Guinée, Côte d'Ivoire, Liberia, Madagascar, Malawi, Mozambique, Niger, Congo, Rwanda, Ouganda, Zambie",MTN MoMo,MTN,com.consumerug,36924,2abc9f018d50699b0530df7eb54c6e14935429d58d1d56e1391a14487a8c8d0c,7.22,2026-03-04 17:52:00,Finance,https://play.google.com/store/apps/details?id=com.consumerug,23,35
Bénin,Moov Money BJ,Moov Bénin,com.digitalpayment.benin.customer,2.0.3,3812f09395c41c9b638297e5dd040b3b48d2a6d22bd9efaf9a649843a0830d49,46.15,2026-03-04 17:53:00,Finance,https://play.google.com/store/apps/details?id=com.digitalpayment.benin.customer,23,35
Tanzania,HaloPesa,VIETTEL ECOMMERCE LIMITED,com.halopesa.eu,3.0.0,a70d2c6facb7e0937cf2a52532a37ded82387f10886f3757b61b0ec89e7cbfd8,66.04,2026-03-04 17:50:00,Finance,https://play.google.com/store/apps/details?id=com.halopesa.eu,23,36
Togo,Moov Money TG,Moov,com.huawei.moovmoney.tg.uat,1.0.7,292850f2a83b0ff3da4ac754b75845152deed3758b89b6cf8b0047a4a043997f,47.09,2026-03-04 17:52:00,Finance,https://play.google.com/store/apps/details?id=com.huawei.moovmoney.tg.uat,21,34
Côte d'Ivoire,MyMoov,Moov Africa CI,com.mobiblanc.moov.mymoov_ci,43466,a046ed47713996201e4557c8d97c56ee3e78f2643306efa9047d4a24c99b63ec,46160,2026-03-04 17:53:00,Tools,https://play.google.com/store/apps/details?id=com.mobiblanc.moov.mymoov_ci,24,35
Burkina Faso,MyMOOV,ONATEL-SA,com.mobiblanc.myonatel,46144,b98c097f31d6041e34d6f6a606439dd7ceb9931687548059af772b3e237fae72,21.43,2026-03-04 17:54:00,Tools,https://play.google.com/store/apps/details?id=com.mobiblanc.myonatel,21,35
South Africa,MTN MoMo SA,MTN MoMo SA,com.momosa,36617,c18b8a53e29da3866c9b09cd0404af893ce410a335bab2e19f399bc3513788d3,14.86,2026-03-04 17:49:00,Finance,https://play.google.com/store/apps/details?id=com.momosa,28,35
,MoMo Agent,MTN,com.mtn.agentapp,39814,e0164ad428fc4336c87e92197d0a3bbf75500efb5dd7bc94809c15ae6ec43a68,7.22,2026-03-04 17:52:00,Finance,https://play.google.com/store/apps/details?id=com.mtn.agentapp,23,33
,MoMo Merchant,MTN,com.mtn.merchantapp,38718,c1aa7442b7b48962484d054293af54097a5b79b6e4830234dc285c58243b2725,6.99,2026-03-04 17:51:00,Finance,https://play.google.com/store/apps/details?id=com.mtn.merchantapp,23,35
Ghana,myMTN Ghana,MTN GHANA,com.mtngh.mymtn,2.0.1,5815dc9075ad4ee2f522be2ab9a8f0e56055a8980200e0760ecb9872dcb7092c,113.86,2026-03-04 17:49:00,Productivity,https://play.google.com/store/apps/details?id=com.mtngh.mymtn,23,35
Zambia,My Zamtel,Zamtel Developer,com.myzamtel,37347,16a79c672a67c137f6bdc95fdad706d9b69bbedc3795d272e8e409fbab168fbd,57.32,2026-03-04 17:52:00,Lifestyle,https://play.google.com/store/apps/details?id=com.myzamtel,21,35
